aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,49,3,00:00:00:00:00:00,00:00:00:00:00:00,10.64.0.0/10,10.128.0.0/10,58,68,79,164,6,in_port
2,134,3,00:00:00:00:00:00,00:00:00:00:00:00,10.64.0.0/10,10.64.0.0/10,2,191,34,162,2,controller
3,169,4,00:00:00:00:00:00,00:00:00:00:00:00,10.19.192.0/19,10.32.0.0/11,32,164,48,143,2,controller
4,19,4,00:00:00:00:00:00,00:00:00:00:00:00,10.194.122.24/29,10.232.98.0/32,97,181,22,105,2,strip_vlan
5,46,4,00:00:00:00:00:00,00:00:00:00:00:00,10.137.59.116/30,10.90.0.0/16,29,157,111,143,1,output:2
6,94,2,00:00:00:00:00:00,00:00:00:00:00:00,10.48.0.0/15,10.216.0.0/13,52,86,128,142,6,flood
7,135,1,00:00:00:00:00:00,00:00:00:00:00:00,10.192.134.80/32,10.72.0.0/13,168,180,15,150,6,strip_vlan
8,151,1,00:00:00:00:00:00,00:00:00:00:00:00,10.18.80.0/21,10.73.0.0/21,83,130,18,141,2,flood
9,57,5,00:00:00:00:00:00,00:00:00:00:00:00,10.96.192.168/29,10.192.0.0/10,7,116,51,98,2,in_port
10,129,5,00:00:00:00:00:00,00:00:00:00:00:00,10.33.56.125/32,10.83.160.0/20,40,94,172,194,6,drop
11,4,5,00:00:00:00:00:00,00:00:00:00:00:00,10.0.0.0/13,10.6.138.192/31,43,144,4,45,2,controller
12,84,3,00:00:00:00:00:00,00:00:00:00:00:00,10.64.0.0/11,10.0.0.0/10,116,158,137,163,2,in_port
13,23,3,00:00:00:00:00:00,00:00:00:00:00:00,10.16.0.0/13,10.64.0.0/11,53,186,115,150,1,flood
14,199,5,00:00:00:00:00:00,00:00:00:00:00:00,10.111.204.0/23,10.96.0.0/12,118,129,21,125,6,controller
15,59,2,00:00:00:00:00:00,00:00:00:00:00:00,10.87.0.0/16,10.6.15.93/32,38,186,6,141,2,output:3
16,156,1,00:00:00:00:00:00,00:00:00:00:00:00,10.30.128.0/21,10.0.0.0/9,25,117,99,100,6,output:3
17,103,5,00:00:00:00:00:00,00:00:00:00:00:00,10.215.160.0/19,10.128.0.0/10,13,26,168,200,6,flood
18,166,2,00:00:00:00:00:00,00:00:00:00:00:00,10.192.0.0/11,10.212.146.52/30,133,164,40,190,1,strip_vlan
19,161,3,00:00:00:00:00:00,00:00:00:00:00:00,10.140.0.0/20,10.240.0.0/14,30,77,53,146,2,output:3
20,1,4,00:00:00:00:00:00,00:00:00:00:00:00,10.96.0.0/11,10.92.235.181/32,130,169,46,165,6,drop
21,163,4,00:00:00:00:00:00,00:00:00:00:00:00,10.58.174.0/24,10.40.63.0/25,133,153,56,147,6,flood
22,53,1,00:00:00:00:00:00,00:00:00:00:00:00,10.139.184.53/32,10.0.0.0/9,107,137,1,187,2,flood
23,86,4,00:00:00:00:00:00,00:00:00:00:00:00,10.193.86.128/28,10.96.0.0/11,93,113,4,195,2,controller
24,30,2,00:00:00:00:00:00,00:00:00:00:00:00,10.163.192.0/18,10.52.0.0/15,61,102,35,80,2,drop
25,36,1,00:00:00:00:00:00,00:00:00:00:00:00,10.225.0.0/21,10.96.0.0/11,19,116,48,112,1,strip_vlan
26,38,1,00:00:00:00:00:00,00:00:00:00:00:00,10.133.216.0/21,10.160.0.0/12,71,193,56,175,2,output:2
27,132,4,00:00:00:00:00:00,00:00:00:00:00:00,10.182.0.0/17,10.213.195.40/29,81,185,6,194,2,in_port
28,201,5,00:00:00:00:00:00,00:00:00:00:00:00,10.0.0.0/10,10.192.0.0/11,191,193,6,75,2,flood
29,168,4,00:00:00:00:00:00,00:00:00:00:00:00,10.244.0.0/14,10.33.16.0/21,28,34,18,79,6,controller
30,35,5,00:00:00:00:00:00,00:00:00:00:00:00,10.83.128.0/17,10.32.0.0/14,64,164,195,200,6,flood
31,133,2,00:00:00:00:00:00,00:00:00:00:00:00,10.32.0.0/11,10.112.0.0/12,49,200,194,198,1,in_port
32,64,1,00:00:00:00:00:00,00:00:00:00:00:00,10.180.185.176/28,10.64.0.0/10,6,65,61,175,6,flood
33,20,5,00:00:00:00:00:00,00:00:00:00:00:00,10.80.0.0/12,10.56.0.0/13,47,138,3,151,1,drop
34,83,2,00:00:00:00:00:00,00:00:00:00:00:00,10.128.0.0/9,10.64.0.0/11,85,91,113,123,2,in_port
35,1,5,00:00:00:00:00:00,00:00:00:00:00:00,10.96.239.17/32,10.30.167.149/32,39,162,30,156,6,output:2
36,131,2,00:00:00:00:00:00,00:00:00:00:00:00,10.128.0.0/10,10.128.0.0/10,42,77,64,122,6,flood
37,89,1,00:00:00:00:00:00,00:00:00:00:00:00,10.151.216.0/21,10.0.0.0/11,47,143,7,141,2,controller
38,129,1,00:00:00:00:00:00,00:00:00:00:00:00,10.196.244.0/22,10.64.0.0/11,20,144,21,198,1,drop
39,57,1,00:00:00:00:00:00,00:00:00:00:00:00,10.160.0.0/11,10.182.192.0/18,51,150,37,73,2,output:2
