aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,113,3,00:00:00:00:00:00,00:00:00:00:00:00,52.104.0.0/14,192.0.0.0/3,127,183,76,118,6,strip_vlan
2,183,4,00:00:00:00:00:00,00:00:00:00:00:00,208.0.0.0/5,142.0.0.0/7,73,151,52,101,6,strip_vlan
3,63,1,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/3,160.0.0.0/3,101,187,195,197,2,controller
4,132,5,00:00:00:00:00:00,00:00:00:00:00:00,128.0.0.0/1,128.0.0.0/11,160,178,32,139,6,drop
5,79,2,00:00:00:00:00:00,00:00:00:00:00:00,240.0.0.0/6,192.0.0.0/3,3,48,149,163,1,strip_vlan
6,103,1,00:00:00:00:00:00,00:00:00:00:00:00,54.88.0.0/13,32.0.0.0/3,108,109,79,191,2,flood
7,107,3,00:00:00:00:00:00,00:00:00:00:00:00,64.0.0.0/5,39.144.0.0/13,62,135,29,119,2,in_port
8,38,3,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/7,174.141.180.0/22,75,159,146,171,2,output:2
9,88,1,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/1,128.0.0.0/3,30,200,76,161,6,drop
10,193,5,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/2,64.0.0.0/2,11,169,2,122,6,output:3
11,109,4,00:00:00:00:00:00,00:00:00:00:00:00,249.127.254.192/26,188.148.144.0/20,92,181,18,54,6,output:2
12,111,2,00:00:00:00:00:00,00:00:00:00:00:00,120.72.0.0/13,195.128.0.0/10,135,190,19,99,2,output:3
13,21,2,00:00:00:00:00:00,00:00:00:00:00:00,172.184.0.0/18,226.52.120.0/21,34,144,131,134,6,drop
14,49,5,00:00:00:00:00:00,00:00:00:00:00:00,104.0.0.0/6,109.3.57.224/27,9,37,100,150,1,output:3
15,113,2,00:00:00:00:00:00,00:00:00:00:00:00,110.0.0.0/7,0.128.0.0/9,49,158,131,195,2,in_port
16,193,5,00:00:00:00:00:00,00:00:00:00:00:00,100.0.0.0/7,33.34.192.0/19,74,192,106,155,6,output:3
17,92,2,00:00:00:00:00:00,00:00:00:00:00:00,70.97.8.0/21,115.207.16.0/20,64,175,54,65,2,output:3
18,39,5,00:00:00:00:00:00,00:00:00:00:00:00,222.121.143.13/32,195.214.19.140/30,43,97,63,183,1,strip_vlan
19,94,2,00:00:00:00:00:00,00:00:00:00:00:00,160.0.0.0/3,148.192.0.0/12,25,198,42,168,6,controller
20,61,5,00:00:00:00:00:00,00:00:00:00:00:00,64.0.0.0/2,201.224.109.143/32,79,147,4,21,1,output:3
21,189,4,00:00:00:00:00:00,00:00:00:00:00:00,36.132.0.0/14,126.0.0.0/8,7,160,132,153,6,output:3
22,7,2,00:00:00:00:00:00,00:00:00:00:00:00,24.0.0.0/5,81.170.206.64/28,27,102,23,180,6,output:2
23,86,1,00:00:00:00:00:00,00:00:00:00:00:00,223.0.0.0/10,66.218.8.0/21,69,102,36,165,2,strip_vlan
24,135,4,00:00:00:00:00:00,00:00:00:00:00:00,128.0.0.0/1,128.0.0.0/2,52,182,41,183,2,strip_vlan
25,167,1,00:00:00:00:00:00,00:00:00:00:00:00,112.219.4.0/22,192.0.0.0/3,3,119,25,76,2,drop
26,11,5,00:00:00:00:00:00,00:00:00:00:00:00,128.0.0.0/1,84.0.0.0/9,73,191,86,148,1,output:3
27,155,2,00:00:00:00:00:00,00:00:00:00:00:00,48.0.0.0/5,124.48.0.0/14,150,182,118,164,2,drop
28,142,1,00:00:00:00:00:00,00:00:00:00:00:00,32.0.0.0/3,128.0.0.0/1,145,170,19,136,1,output:3
29,100,1,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/2,224.0.0.0/6,33,168,45,166,1,output:3
30,169,3,00:00:00:00:00:00,00:00:00:00:00:00,134.88.0.0/14,112.0.0.0/4,41,102,57,92,2,in_port
31,26,1,00:00:00:00:00:00,00:00:00:00:00:00,48.0.0.0/4,233.133.50.233/32,47,157,12,154,6,in_port
32,81,1,00:00:00:00:00:00,00:00:00:00:00:00,160.0.0.0/5,231.91.0.0/19,61,168,53,127,6,output:2
33,102,4,00:00:00:00:00:00,00:00:00:00:00:00,249.252.112.0/20,128.0.0.0/1,8,168,152,180,2,in_port
34,114,3,00:00:00:00:00:00,00:00:00:00:00:00,77.0.0.0/8,84.0.0.0/7,86,127,81,160,1,controller
